timestamp                 ,close  ,high     ,low      ,trade_count ,open     ,volume    ,vwap       ,year ,month ,day ,hour ,CVNA_close ,CVNA_high ,CVNA_low ,CVNA_trade_count ,CVNA_open ,CVNA_volume ,CVNA_vwap  ,F_close ,F_high  ,F_low   ,F_trade_count ,F_open  ,F_volume  ,F_vwap    ,XLE_close ,XLE_high ,XLE_low ,XLE_trade_count ,XLE_open ,XLE_volume ,XLE_vwap
2020-01-02 05:00:00+00:00 , 96.95 , 96.98   , 92.51   ,      13899 , 93.21   ,  1252502 , 95.310276 ,2020 ,    1 ,  2 ,   5 ,     96.95 ,  96.98   , 92.51   ,           13899 ,  93.21   ,    1252502 , 95.310276 ,   9.42 , 9.42   , 9.19   ,        75293 , 9.29   , 46160375 , 9.303492 ,   60.58  , 60.67   ,60.23   ,          51068 , 60.44   ,  12238079 ,60.462601
2020-01-03 05:00:00+00:00 , 92.75 , 97.13   , 92.335  ,      12730 , 95.62   ,  1033585 , 94.005931 ,2020 ,    1 ,  3 ,   5 ,     92.75 ,  97.13   , 92.335  ,           12730 ,  95.62   ,    1033585 , 94.005931 ,   9.21 , 9.37   , 9.15   ,        72536 , 9.31   , 49917474 , 9.218402 ,   60.4   , 61.31   ,60.1    ,          78999 , 61.12   ,  35456379 ,60.476236
2020-01-06 05:00:00+00:00 , 92.34 , 93.13   , 90.88   ,      10104 , 91.44   ,   884951 , 91.909994 ,2020 ,    1 ,  6 ,   5 ,     92.34 ,  93.13   , 90.88   ,           10104 ,  91.44   ,     884951 , 91.909994 ,   9.16 , 9.17   , 9.06   ,        67712 , 9.1    , 50948764 , 9.134197 ,   60.86  , 61.18   ,60.4    ,          67683 , 60.61   ,  22888808 ,60.78443
2020-01-07 05:00:00+00:00 , 90.91 , 93.02   , 90.77   ,       8837 , 93.02   ,   758775 , 91.638647 ,2020 ,    1 ,  7 ,   5 ,     90.91 ,  93.02   , 90.77   ,            8837 ,  93.02   ,     758775 , 91.638647 ,   9.25 , 9.25   , 9.12   ,        69797 , 9.2    , 48038070 , 9.196652 ,   60.71  , 60.77   ,60.0    ,          54539 , 60.7    ,  11643071 ,60.410481
2020-01-08 05:00:00+00:00 , 89.13 , 91.1577 , 88.44   ,      17382 , 90.75   ,  1538082 , 89.493316 ,2020 ,    1 ,  8 ,   5 ,     89.13 ,  91.1577 , 88.44   ,           17382 ,  90.75   ,    1538082 , 89.493316 ,   9.25 , 9.3    , 9.17   ,        73172 , 9.23   , 48472750 , 9.235318 ,   59.71  , 60.72   ,59.63   ,          81726 , 60.65   ,  19557931 ,59.920136
2020-01-09 05:00:00+00:00 , 86.57 , 89.77   , 85.49   ,      17916 , 89.37   ,  1541591 , 86.784069 ,2020 ,    1 ,  9 ,   5 ,     86.57 ,  89.77   , 85.49   ,           17916 ,  89.37   ,    1541591 , 86.784069 ,   9.26 , 9.31   , 9.18   ,        68597 , 9.3    , 62635122 , 9.243771 ,   60.15  , 60.205  ,58.98   ,          67541 , 59.68   ,  15513256 ,59.686374
2020-01-10 05:00:00+00:00 , 87.61 , 88.21   , 85.76   ,      14002 , 86.81   ,  2322249 , 87.450017 ,2020 ,    1 , 10 ,   5 ,     87.61 ,  88.21   , 85.76   ,           14002 ,  86.81   ,    2322249 , 87.450017 ,   9.25 , 9.36   , 9.25   ,        64859 , 9.27   , 43183184 , 9.288116 ,   59.81  , 60.17   ,59.74   ,          41237 , 60.12   ,   9322401 ,59.929208
2020-01-13 05:00:00+00:00 , 92.87 , 93.85   , 87.61   ,      17707 , 88.57   ,  3134297 , 92.407076 ,2020 ,    1 , 13 ,   5 ,     92.87 ,  93.85   , 87.61   ,           17707 ,  88.57   ,    3134297 , 92.407076 ,   9.24 , 9.26   , 9.11   ,        71555 , 9.25   , 50337353 , 9.199847 ,   59.83  , 60.015  ,59.41   ,          45173 , 59.72   ,   8913334 ,59.743027
2020-01-14 05:00:00+00:00 , 86.02 , 92.19   , 84.06   ,      36856 , 92.14   ,  4562666 , 86.122715 ,2020 ,    1 , 14 ,   5 ,     86.02 ,  92.19   , 84.06   ,           36856 ,  92.14   ,    4562666 , 86.122715 ,   9.29 , 9.33   , 9.21   ,        72655 , 9.22   , 48005854 , 9.277902 ,   59.84  , 59.91   ,59.31   ,          44417 , 59.7    ,  17445510 ,59.653119
2020-01-15 05:00:00+00:00 , 86.77 , 86.85   , 83.41   ,      16389 , 85.76   ,  1578772 , 85.485077 ,2020 ,    1 , 15 ,   5 ,     86.77 ,  86.85   , 83.41   ,           16389 ,  85.76   ,    1578772 , 85.485077 ,   9.19 , 9.3    , 9.18   ,        82776 , 9.27   , 64969685 , 9.219469 ,   59.4   , 59.76   ,59.225  ,          45585 , 59.58   ,  11212524 ,59.416093
